season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
3,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,4905
4,11,0,4,1,2,0.321667,0.324492,0.620417,0.152987,5445
4,11,0,5,1,1,0.345,0.347204,0.524583,0.171025,5698
2,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,5020
1,1,0,1,1,1,0.269167,0.262625,0.400833,0.215792,3624
4,10,0,3,1,2,0.6575,0.599133,0.79375,0.0665458,7572
2,5,0,6,0,2,0.621667,0.584608,0.756667,0.152992,6883
1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,4075
1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,4521
4,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,3727
2,4,0,1,1,1,0.433913,0.427513,0.504348,0.312139,5936
2,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,3126
2,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073
4,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,7509
3,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,4334
4,10,0,3,1,1,0.455833,0.450108,0.692917,0.101371,7461
4,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,4308
2,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,3249
1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959
2,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1685
3,7,0,0,0,1,0.8225,0.790396,0.57375,0.125629,4672
1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,3243
4,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346,5986
4,11,0,4,1,1,0.352174,0.341891,0.333478,0.347835,5315
3,8,0,1,1,1,0.720833,0.662254,0.545417,0.136212,6883
3,7,0,0,0,1,0.815833,0.750629,0.51875,0.168529,5531
1,2,0,6,0,1,0.290833,0.255675,0.395833,0.421642,2732
1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,3922
1,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
2,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,5805
1,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098
1,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589
1,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472
1,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056
2,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,4844
3,8,0,0,0,2,0.653333,0.595996,0.845833,0.228858,5255
4,10,0,1,1,2,0.520833,0.512,0.649167,0.0908042,6778
1,2,0,5,1,1,0.343333,0.351629,0.634583,0.205846,4154
3,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,4648
